voterID, State, A, B, C, D
Voter0, MD, 1, 2, 4, 3
Voter1, NH, 2, 4, 3, 1
Voter2, AK, 4, 1, 3, 2
Voter3, IL, 1, 3, 2, 4
Voter4, CO, 3, 4, 2, 1
Voter5, AZ, 4, 1, 3, 2
Voter6, IA, 1, 4, 3, 2
Voter7, CT, 4, 2, 3, 1
Voter8, NE, 1, 3, 2, 4
Voter9, IA, 3, 4, 2, 1
Voter10, OK, 1, 2, 3, 4
Voter11, AZ, 4, 3, 2, 1
Voter12, AR, 4, 1, 2, 3
Voter13, MI, 3, 4, 2, 1
Voter14, OR, 2, 4, 3, 1
Voter15, IA, 2, 1, 3, 4
Voter16, DC, 4, 2, 3, 1
Voter17, NJ, 4, 3, 1, 2
Voter18, CT, 1, 4, 2, 3
Voter19, ID, 4, 3, 1, 2
Voter20, WA, 3, 4, 2, 1
Voter21, MD, 2, 1, 4, 3
Voter22, DC, 1, 3, 4, 2
Voter23, DE, 3, 1, 2, 4
Voter24, DC, 4, 1, 2, 3
Voter25, HI, 3, 1, 4, 2
Voter26, MN, 4, 3, 1, 2
Voter27, CO, 2, 3, 1, 4
Voter28, NE, 3, 1, 2, 4
Voter29, AR, 2, 4, 3, 1
Voter30, TN, 3, 2, 1, 4
Voter31, GA, 2, 3, 4, 1
Voter32, AL, 1, 2, 3, 4
Voter33, PA, 2, 3, 1, 4
Voter34, NC, 3, 1, 4, 2
Voter35, NH, 1, 3, 2, 4
Voter36, MS, 2, 3, 4, 1
Voter37, MO, 1, 4, 3, 2
Voter38, NV, 3, 1, 2, 4
Voter39, KY, 2, 4, 1, 3
Voter40, PA, 4, 1, 2, 3
Voter41, IA, 4, 1, 2, 3
Voter42, WI, 4, 3, 1, 2
Voter43, NC, 2, 3, 1, 4
Voter44, NC, 4, 3, 2, 1
Voter45, CT, 3, 1, 2, 4
Voter46, NV, 4, 3, 2, 1
Voter47, NY, 2, 4, 1, 3
Voter48, GA, 3, 1, 4, 2
Voter49, PA, 3, 1, 2, 4
Voter50, KY, 1, 4, 3, 2
Voter51, MA, 3, 1, 2, 4
Voter52, RI, 2, 4, 3, 1
Voter53, OH, 3, 1, 4, 2
Voter54, MS, 1, 3, 4, 2
Voter55, NE, 4, 2, 3, 1
Voter56, IA, 3, 4, 1, 2
Voter57, KY, 4, 2, 3, 1
Voter58, MA, 3, 4, 1, 2
Voter59, KY, 4, 2, 1, 3
Voter60, LA, 4, 3, 2, 1
Voter61, NV, 2, 4, 3, 1
Voter62, NJ, 1, 3, 2, 4
Voter63, FL, 3, 1, 2, 4
Voter64, VA, 1, 3, 4, 2
Voter65, UT, 3, 1, 4, 2
Voter66, VA, 3, 2, 4, 1
Voter67, NH, 4, 1, 2, 3
Voter68, WY, 3, 2, 1, 4
Voter69, DE, 1, 4, 3, 2
Voter70, CT, 1, 3, 2, 4
Voter71, ME, 4, 1, 3, 2
Voter72, NC, 2, 3, 4, 1
Voter73, ID, 2, 4, 1, 3
Voter74, IL, 3, 1, 4, 2
Voter75, OR, 2, 3, 4, 1
Voter76, VA, 1, 2, 3, 4
Voter77, CO, 4, 3, 2, 1
Voter78, ME, 4, 2, 1, 3
Voter79, TX, 3, 1, 4, 2
Voter80, TN, 3, 1, 2, 4
Voter81, WA, 1, 2, 3, 4
Voter82, WA, 4, 1, 3, 2
Voter83, NE, 3, 2, 4, 1
Voter84, MO, 1, 3, 4, 2
Voter85, NE, 1, 4, 2, 3
Voter86, LA, 3, 4, 2, 1
Voter87, WV, 2, 3, 1, 4
Voter88, OR, 1, 2, 4, 3
Voter89, NH, 4, 1, 2, 3
Voter90, ME, 2, 3, 4, 1
Voter91, MN, 3, 2, 1, 4
Voter92, OR, 2, 3, 4, 1
Voter93, AL, 4, 3, 2, 1
Voter94, KS, 4, 3, 1, 2
Voter95, AR, 4, 2, 1, 3
Voter96, NC, 2, 1, 4, 3
Voter97, MI, 4, 2, 1, 3
Voter98, WI, 1, 4, 3, 2
Voter99, MI, 3, 4, 2, 1
Voter100, MS, 4, 1, 3, 2
Voter101, DC, 1, 4, 2, 3
Voter102, SD, 3, 4, 1, 2
Voter103, TN, 1, 4, 3, 2
Voter104, MD, 2, 3, 4, 1
Voter105, VA, 1, 2, 3, 4
Voter106, IL, 4, 1, 3, 2
Voter107, AR, 2, 3, 1, 4
Voter108, OR, 4, 2, 3, 1
Voter109, WV, 1, 4, 2, 3
Voter110, WY, 3, 4, 2, 1
Voter111, IN, 1, 4, 3, 2
Voter112, GA, 2, 4, 3, 1
Voter113, TN, 1, 4, 2, 3
Voter114, DC, 1, 2, 3, 4
Voter115, ID, 3, 4, 1, 2
Voter116, CT, 4, 2, 3, 1
Voter117, WI, 3, 1, 4, 2
Voter118, AZ, 2, 1, 4, 3
Voter119, WA, 2, 1, 3, 4
Voter120, AK, 2, 3, 1, 4
Voter121, ID, 3, 1, 4, 2
Voter122, MA, 3, 2, 1, 4
Voter123, TX, 2, 3, 4, 1
Voter124, UT, 2, 1, 4, 3
Voter125, NJ, 4, 2, 1, 3
Voter126, CO, 1, 2, 4, 3
Voter127, OR, 1, 3, 2, 4
Voter128, WV, 4, 1, 2, 3
Voter129, CT, 1, 2, 3, 4
Voter130, SD, 3, 4, 2, 1
Voter131, ID, 3, 1, 2, 4
Voter132, AK, 4, 3, 1, 2
Voter133, WI, 3, 4, 2, 1
Voter134, NV, 3, 2, 4, 1
Voter135, SC, 3, 2, 4, 1
Voter136, WI, 3, 2, 1, 4
Voter137, MS, 3, 2, 1, 4
Voter138, GA, 2, 3, 1, 4
Voter139, IL, 4, 3, 1, 2
Voter140, PA, 3, 2, 1, 4
Voter141, AZ, 2, 4, 3, 1
Voter142, GA, 1, 2, 3, 4
Voter143, RI, 1, 2, 4, 3
Voter144, VT, 3, 1, 4, 2
Voter145, MS, 1, 2, 3, 4
Voter146, NJ, 4, 2, 3, 1
Voter147, AR, 3, 1, 4, 2
Voter148, ND, 4, 3, 2, 1
Voter149, NH, 4, 3, 2, 1
Voter150, WI, 2, 4, 3, 1
Voter151, TX, 1, 4, 3, 2
Voter152, NC, 2, 4, 3, 1
Voter153, KS, 2, 3, 1, 4
Voter154, MT, 1, 3, 2, 4
Voter155, OR, 1, 3, 2, 4
Voter156, MA, 3, 4, 2, 1
Voter157, IA, 4, 3, 1, 2
Voter158, WY, 4, 2, 3, 1
Voter159, OR, 3, 2, 4, 1
Voter160, WI, 2, 3, 1, 4
Voter161, NE, 4, 3, 1, 2
Voter162, TN, 2, 4, 3, 1
Voter163, SC, 3, 4, 1, 2
Voter164, NC, 3, 2, 4, 1
Voter165, MS, 4, 1, 3, 2
Voter166, AL, 2, 1, 3, 4
Voter167, OH, 3, 1, 2, 4
Voter168, MN, 1, 4, 2, 3
Voter169, CT, 4, 1, 2, 3
Voter170, KS, 1, 2, 4, 3
Voter171, ND, 4, 1, 3, 2
Voter172, SC, 3, 4, 2, 1
Voter173, CO, 2, 1, 3, 4
Voter174, OK, 4, 1, 3, 2
Voter175, AZ, 1, 4, 3, 2
Voter176, TN, 2, 1, 4, 3
Voter177, PA, 2, 1, 4, 3
Voter178, SC, 4, 3, 1, 2
Voter179, TX, 3, 2, 1, 4
Voter180, CA, 1, 2, 3, 4
Voter181, AR, 2, 1, 3, 4
Voter182, DC, 3, 1, 2, 4
Voter183, VA, 2, 3, 4, 1
Voter184, MS, 2, 4, 1, 3
Voter185, TX, 2, 3, 4, 1
Voter186, AZ, 4, 2, 3, 1
Voter187, TN, 2, 1, 4, 3
Voter188, MT, 2, 4, 3, 1
Voter189, NM, 2, 1, 4, 3
Voter190, WY, 3, 2, 4, 1
Voter191, MN, 1, 2, 4, 3
Voter192, MA, 1, 3, 2, 4
Voter193, PA, 1, 2, 4, 3
Voter194, ID, 4, 1, 3, 2
Voter195, KS, 2, 3, 1, 4
Voter196, IA, 4, 1, 3, 2
Voter197, LA, 1, 2, 4, 3
Voter198, MN, 2, 4, 1, 3
Voter199, ID, 2, 4, 3, 1
Voter200, CO, 1, 4, 2, 3
Voter201, FL, 4, 3, 2, 1
Voter202, KS, 2, 4, 1, 3
Voter203, AL, 1, 2, 4, 3
Voter204, WY, 4, 2, 1, 3
Voter205, ME, 4, 3, 2, 1
Voter206, ID, 4, 1, 3, 2
Voter207, NH, 1, 4, 2, 3
Voter208, OR, 2, 3, 4, 1
Voter209, AR, 3, 2, 1, 4
Voter210, MS, 3, 2, 4, 1
Voter211, VA, 1, 3, 2, 4
Voter212, MO, 4, 2, 1, 3
Voter213, VA, 4, 3, 1, 2
Voter214, WV, 4, 3, 1, 2
